transaction_date,owner,ticker,asset_type,type,amount,senator,basis,SPY basis
01/08/2021,Self,VRM,Stock,Purchase,"$1,001 - $15,000","William F Hagerty, Iv",41,380
01/22/2021,Spouse,LMACU,Stock,Purchase,"$50,001 - $100,000",John W Hickenlooper,13,382
01/20/2021,Child,AAPL,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,130,382
01/20/2021,Child,AAPL,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,130,382
01/20/2021,Child,AAPL,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,130,382
01/27/2021,Child,AAPL,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,142,376
01/27/2021,Child,DIS,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,163,376
01/27/2021,Child,KLAC,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,290,376
01/27/2021,Child,AAPL,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,142,376
01/27/2021,Child,DIS,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,163,376
01/27/2021,Child,KLAC,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,290,376
01/27/2021,Child,AAPL,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,142,376
01/27/2021,Child,DIS,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,163,376
01/27/2021,Child,KLAC,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,290,376
01/27/2021,Spouse,COST,Stock,Sale (Full),"$1,001 - $15,000","Jerry Moran,",360,376
01/27/2021,Self,COST,Stock,Sale (Full),"$1,001 - $15,000","Jerry Moran,",360,376
01/28/2021,Child,GME,Stock,Sale (Full),"$1,001 - $15,000",Patrick J Toomey,263,377
01/27/2021,Child,SHOP,Stock,Sale (Full),"$1,001 - $15,000",Patrick J Toomey,1118,376
01/27/2021,Child,GME,Stock,Purchase,"$1,001 - $15,000",Patrick J Toomey,332,376
01/27/2021,Child,TSLA,Stock,Sale (Full),"$1,001 - $15,000",Patrick J Toomey,871,376
01/15/2021,Self,STAG,Stock,Purchase,"$1,001 - $15,000",Gary C Peters,30,375
01/15/2021,Self,AEP,Stock,Purchase,"$1,001 - $15,000",Gary C Peters,78,375
01/27/2021,Spouse,DD,Stock,Sale (Partial),"$15,001 - $50,000",Thomas R Carper,78,376
01/26/2021,Spouse,PBA,Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,27,384
01/26/2021,Spouse,AQN,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,17,384
01/25/2021,Spouse,VIAV,Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,15,382
01/25/2021,Spouse,EVOP,Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,25,382
01/11/2021,Spouse,FEYE,Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,22,378
01/11/2021,Spouse,DDOG,Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,103,378
01/11/2021,Spouse,CAG,Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,33,378
01/08/2021,Spouse,AJRD,Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,53,380
01/05/2021,Self,CRSP,Stock,Sale (Partial),"$1,001 - $15,000",James M Inhofe,158,369
12/31/2020,Spouse,UNH,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,347,372
12/31/2020,Spouse,PSX,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,70,372
12/31/2020,Spouse,AMT,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,222,372
12/31/2020,Spouse,SYY,Stock,Sale (Full),"$1,001 - $15,000",Shelley M Capito,73,372
12/31/2020,Spouse,PII,Stock,Sale (Full),"$1,001 - $15,000",Shelley M Capito,95,372
