senator,ticker,owner,buybasis,sellbasis,totalamount,earning_rate,first_buy,last_sell,open_state
"David A Perdue , Jr",PSXP,Joint,61.0,39.0,28250.0,-0.36065573770491804,2020-02-21,2020-04-15,0.0
"David A Perdue , Jr",PYPL,Joint,83.0,102.08641975308642,56500.0,0.22995686449501707,2019-07-25,2015-07-21,0.0
"David A Perdue , Jr",QCOM,Joint,52.5,57.0,40500.0,0.08571428571428572,2016-03-22,2017-11-07,0.0
"David A Perdue , Jr",RF,Joint,15.133771929824562,13.787610619469026,369250.0,-0.08895081256660255,2018-01-03,2019-10-23,0.0
"David A Perdue , Jr",RL,Joint,65.0,76.0,8000.0,0.16923076923076924,2020-03-23,2020-04-14,0.0
"David A Perdue , Jr",SBUX,Joint,55.7906976744186,60.0,113250.0,0.07544810337640688,2020-03-19,2018-07-19,0.0
"David A Perdue , Jr",SHLX,Joint,23.5,14.5,32000.0,-0.3829787234042553,2018-02-05,2020-04-15,0.0
"David A Perdue , Jr",SLB,Joint,72.18478260869566,51.19753086419753,109500.0,-0.2907434363038439,2017-03-22,2018-12-20,0.0
"David A Perdue , Jr",SO,Joint,62.0,55.0,8000.0,-0.11290322580645161,2021-11-15,2020-04-16,-1.0
"David A Perdue , Jr",SPY,Joint,273.81500671656113,279.16824196597355,2493000.0,0.01955055463762002,2018-06-27,2018-12-31,0.0
"David A Perdue , Jr",STT,Joint,56.0,61.81443298969072,32250.0,0.10382916053019146,2019-08-07,2019-09-30,0.0
"David A Perdue , Jr",SU,Joint,34.54502369668246,28.037037037037038,73000.0,-0.18839143712240153,2018-02-09,2019-09-25,0.0
"David A Perdue , Jr",SUN,Joint,29.75,27.0,28000.0,-0.09243697478991597,2018-01-31,2019-12-13,0.0
"David A Perdue , Jr",SYK,Joint,263.0,171.75,32000.0,-0.34695817490494296,2021-11-15,2017-10-30,-1.0
"David A Perdue , Jr",SYY,Joint,36.424778761061944,55.14124293785311,72500.0,0.5138387881383386,2020-03-17,2017-12-29,0.0
"David A Perdue , Jr",SYY.SG,Joint,66.0,43.0,8000.0,-0.3484848484848485,2021-11-15,2016-05-11,-1.0
"David A Perdue , Jr",T,Joint,29.3623595505618,36.52095808383233,214250.0,0.24380188250686982,2019-01-30,2019-08-26,0.0
"David A Perdue , Jr",TAP,Joint,48.0,75.57142857142857,56000.0,0.5744047619047619,2021-11-15,2015-05-14,-1.0
"David A Perdue , Jr",TFC,Joint,63.0,30.0,8000.0,-0.5238095238095238,2021-11-15,2020-04-16,-1.0
"David A Perdue , Jr",TRGP,Joint,37.2,39.038277511961724,72250.0,0.04941606214950862,2019-03-18,2019-10-17,0.0
"David A Perdue , Jr",TRP,Joint,46.49740932642487,45.36363636363637,92250.0,-0.02438357274550719,2020-02-24,2018-09-18,0.0
"David A Perdue , Jr",TRV,Joint,158.0,136.0,32500.0,-0.13924050632911392,2021-11-15,2017-12-04,-1.0
"David A Perdue , Jr",UHAL,Joint,320.6,304.7628865979381,44250.0,-0.04939835746120368,2018-02-28,2019-09-30,0.0
"David A Perdue , Jr",UPS,Joint,105.94594594594595,100.32770270270271,148000.0,-0.053029336734693865,2018-02-09,2018-12-14,0.0
"David A Perdue , Jr",URBN,Joint,22.296103896103897,25.794871794871796,368000.0,0.15692283795732068,2020-01-10,2017-11-15,0.0
"David A Perdue , Jr",URI,Joint,385.0,100.0,8000.0,-0.7402597402597403,2021-11-15,2020-04-16,-1.0
"David A Perdue , Jr",USB,Joint,60.0,39.75308641975309,40500.0,-0.33744855967078186,2021-11-15,2019-09-30,-1.0
"David A Perdue , Jr",V,Joint,70.0,173.0,20250.0,1.4714285714285715,2016-01-20,2020-04-14,0.0
"David A Perdue , Jr",VIAC,Joint,36.65581395348837,15.710843373493976,149000.0,-0.5713955937950508,2020-02-21,2020-04-14,0.0
"David A Perdue , Jr",VZ,Joint,45.0,57.0,40500.0,0.26666666666666666,2017-05-24,2020-04-16,0.0
"David A Perdue , Jr",WBA,Joint,81.0,80.5,36500.0,-0.006172839506172839,2016-05-05,2017-08-15,0.0
"David A Perdue , Jr",WES,Joint,28.0,24.0,28000.0,-0.14285714285714285,2019-03-18,2018-09-14,0.0
"David A Perdue , Jr",WFC,Joint,44.1958762886598,30.34020618556701,48500.0,-0.3135059482155354,2016-02-25,2020-04-16,0.0
"David A Perdue , Jr",WLK,Joint,44.72727272727273,68.01379310344828,116500.0,0.5206335856462014,2016-01-15,2017-08-14,0.0
"David A Perdue , Jr",WMB,Joint,28.786941580756015,23.608247422680414,194000.0,-0.17989733794914645,2020-03-26,2018-11-29,0.0
"David A Perdue , Jr",WMT,Joint,70.0,81.55531914893616,125500.0,0.1650759878419452,2017-03-13,2017-11-14,0.0
"David A Perdue , Jr",XOM,Joint,76.70987654320987,73.55797101449275,109500.0,-0.0410886533879596,2018-01-16,2017-12-13,0.0
"David A Perdue , Jr",ZTS,Joint,216.0,42.83505154639175,48500.0,-0.8016895761741123,2021-11-15,2015-01-30,-1.0
Gary C Peters,ABBV,Self,59.0,116.0,8000.0,0.9661016949152542,2015-09-10,2021-11-15,1.0
Gary C Peters,AEP,Self,80.5,82.0,16000.0,0.018633540372670808,2021-01-15,2021-11-15,1.0
Gary C Peters,ARCC,Self,16.0,20.0,16000.0,0.25,2017-06-27,2021-11-15,1.0
Gary C Peters,BHF,Self,55.0,56.0,8000.0,0.01818181818181818,2021-11-15,2017-08-23,-1.0
Gary C Peters,CVS,Self,77.0,93.0,24000.0,0.2077922077922078,2018-04-26,2021-11-15,1.0
Gary C Peters,DTE,Self,69.0,112.0,8000.0,0.6231884057971014,2015-04-14,2021-11-15,1.0
Gary C Peters,EMR,Self,58.0,96.0,8000.0,0.6551724137931034,2015-04-14,2021-11-15,1.0
Gary C Peters,GE,Self,107.0,80.0,8000.0,-0.2523364485981308,2021-11-15,2018-10-30,-1.0
Gary C Peters,GIS,Self,44.0,63.0,8000.0,0.4318181818181818,2018-11-09,2021-11-15,1.0
Gary C Peters,GM,Self,31.0,63.0,8000.0,1.032258064516129,2015-09-16,2021-11-15,1.0
Gary C Peters,IVZ,Self,31.0,26.0,16000.0,-0.16129032258064516,2016-05-24,2021-11-15,1.0
Gary C Peters,MAT,Self,23.0,17.0,8000.0,-0.2608695652173913,2021-11-15,2017-11-13,-1.0
Gary C Peters,MDT,Self,75.0,118.0,32500.0,0.5733333333333334,2015-01-27,2021-11-15,1.0
Gary C Peters,MMC,Self,54.0,167.0,8000.0,2.0925925925925926,2015-09-16,2021-11-15,1.0
Gary C Peters,MPW,Self,12.0,21.0,8000.0,0.75,2017-02-06,2021-11-15,1.0
Gary C Peters,NUE,Self,36.0,110.0,8000.0,2.0555555555555554,2016-01-26,2021-11-15,1.0
Gary C Peters,O,Self,68.0,71.0,32500.0,0.04411764705882353,2021-07-21,2021-11-15,1.0
